workerid,proliferate.condition,accuracy,internal_node_id,question_order,response,rt,stimulus,time_elapsed,trial_index,trial_type,error
87,All,,0.0-4.0-6.0,,,,audio/NGN/NGN_02_NG.mp3,543531,10,audio-keyboard-response,
87,All,,0.0-4.0-7.0,"[0, 1, 2, 3, 4, 5]","{'local': 1, 'casual': 1, 'educated': 3, 'friendly': 3, 'dependable': 3, 'traditional': 4}",30019,,573554,11,survey-likert,
87,All,,0.0-4.0-8.0,,,,audio/NL/NL_04_L.mp3,574732,12,audio-keyboard-response,
87,All,,0.0-4.0-9.0,"[0, 1, 2, 3, 4, 5]","{'local': 1, 'casual': 2, 'educated': 2, 'friendly': 1, 'dependable': 2, 'traditional': 1}",18965,,593701,13,survey-likert,
87,All,,0.0-4.0-10.0,,,,audio/NL/NL_08_N.mp3,595481,14,audio-keyboard-response,
87,All,,0.0-4.0-11.0,"[0, 1, 2, 3, 4, 5]","{'local': 2, 'casual': 3, 'educated': 3, 'friendly': 2, 'dependable': 3, 'traditional': 4}",13130,,608615,15,survey-likert,
87,All,,0.0-4.0-12.0,,,,audio/attention_check_1.mp3,611571,16,audio-keyboard-response,
87,All,,0.0-4.0-13.0,"[0, 1, 2, 3, 4, 5]","{'local': 0, 'casual': 0, 'educated': 0, 'friendly': 0, 'dependable': 0, 'traditional': 0}",11691,,623266,17,survey-likert,
87,All,,0.0-4.0-14.0,,,,audio/NL/NL_10_N.mp3,624881,18,audio-keyboard-response,
87,All,,0.0-4.0-15.0,"[0, 1, 2, 3, 4, 5]","{'local': 3, 'casual': 2, 'educated': 3, 'friendly': 2, 'dependable': 2, 'traditional': 4}",20505,,645390,19,survey-likert,
87,All,,0.0-4.0-16.0,,,,audio/NGN/NGN_09_NG.mp3,646961,20,audio-keyboard-response,
87,All,,0.0-4.0-17.0,"[0, 1, 2, 3, 4, 5]","{'local': 3, 'casual': 1, 'educated': 4, 'friendly': 2, 'dependable': 3, 'traditional': 1}",26181,,673147,21,survey-likert,
87,All,,0.0-4.0-18.0,,,,audio/attention_check_4.mp3,676421,22,audio-keyboard-response,
87,All,,0.0-4.0-19.0,"[0, 1, 2, 3, 4, 5]","{'local': 3, 'casual': 3, 'educated': 3, 'friendly': 3, 'dependable': 3, 'traditional': 3}",7763,,684189,23,survey-likert,
87,All,,0.0-4.0-20.0,,,,audio/NGG/NGG_06_NG.mp3,685611,24,audio-keyboard-response,
87,All,,0.0-4.0-21.0,"[0, 1, 2, 3, 4, 5]","{'local': 1, 'casual': 2, 'educated': 2, 'friendly': 3, 'dependable': 2, 'traditional': 2}",30779,,716394,25,survey-likert,
87,All,,0.0-4.0-22.0,,,,audio/NL/NL_03_N.mp3,717371,26,audio-keyboard-response,
87,All,,0.0-4.0-23.0,"[0, 1, 2, 3, 4, 5]","{'local': 1, 'casual': 4, 'educated': 2, 'friendly': 3, 'dependable': 2, 'traditional': 4}",15790,,733165,27,survey-likert,
87,All,,0.0-4.0-24.0,,,,audio/NGG/NGG_09_NG.mp3,735952,28,audio-keyboard-response,
87,All,,0.0-4.0-25.0,"[0, 1, 2, 3, 4, 5]","{'local': 2, 'casual': 0, 'educated': 3, 'friendly': 2, 'dependable': 3, 'traditional': 3}",15293,,751249,29,survey-likert,
87,All,,0.0-4.0-26.0,,,,audio/NGG/NGG_03_NG.mp3,752851,30,audio-keyboard-response,
87,All,,0.0-4.0-27.0,"[0, 1, 2, 3, 4, 5]","{'local': 1, 'casual': 3, 'educated': 1, 'friendly': 2, 'dependable': 2, 'traditional': 4}",16517,,769372,31,survey-likert,
87,All,,0.0-4.0-28.0,,,,audio/NGN/NGN_01_N.mp3,771291,32,audio-keyboard-response,
87,All,,0.0-4.0-29.0,"[0, 1, 2, 3, 4, 5]","{'local': 2, 'casual': 0, 'educated': 4, 'friendly': 2, 'dependable': 2, 'traditional': 0}",20200,,791495,33,survey-likert,
87,All,,0.0-4.0-30.0,,,,audio/NGN/NGN_08_N.mp3,793371,34,audio-keyboard-response,
87,All,,0.0-4.0-31.0,"[0, 1, 2, 3, 4, 5]","{'local': 0, 'casual': 4, 'educated': 1, 'friendly': 1, 'dependable': 1, 'traditional': 1}",23989,,817364,35,survey-likert,
87,All,,0.0-4.0-32.0,,,,audio/NL/NL_09_L.mp3,818671,36,audio-keyboard-response,
87,All,,0.0-4.0-33.0,"[0, 1, 2, 3, 4, 5]","{'local': 1, 'casual': 1, 'educated': 3, 'friendly': 2, 'dependable': 3, 'traditional': 1}",16820,,835495,37,survey-likert,
87,All,,0.0-4.0-34.0,,,,audio/NGN/NGN_03_N.mp3,836920,38,audio-keyboard-response,
87,All,,0.0-4.0-35.0,"[0, 1, 2, 3, 4, 5]","{'local': 3, 'casual': 4, 'educated': 2, 'friendly': 3, 'dependable': 3, 'traditional': 4}",23015,,859940,39,survey-likert,
87,All,,0.0-4.0-36.0,,,,audio/NL/NL_06_N.mp3,860931,40,audio-keyboard-response,
87,All,,0.0-4.0-37.0,"[0, 1, 2, 3, 4, 5]","{'local': 2, 'casual': 0, 'educated': 3, 'friendly': 2, 'dependable': 3, 'traditional': 0}",15720,,876655,41,survey-likert,
87,All,,0.0-4.0-38.0,,,,audio/NGG/NGG_10_NG.mp3,879071,42,audio-keyboard-response,
87,All,,0.0-4.0-39.0,"[0, 1, 2, 3, 4, 5]","{'local': 1, 'casual': 4, 'educated': 1, 'friendly': 2, 'dependable': 2, 'traditional': 5}",30816,,909892,43,survey-likert,
87,All,,0.0-4.0-40.0,,,,audio/NL/NL_01_N.mp3,911771,44,audio-keyboard-response,
87,All,,0.0-4.0-41.0,"[0, 1, 2, 3, 4, 5]","{'local': 3, 'casual': 5, 'educated': 3, 'friendly': 4, 'dependable': 3, 'traditional': 5}",18987,,930760,45,survey-likert,
87,All,,0.0-4.0-42.0,,,,audio/NGG/NGG_01_G.mp3,932182,46,audio-keyboard-response,
87,All,,0.0-4.0-43.0,"[0, 1, 2, 3, 4, 5]","{'local': 1, 'casual': 4, 'educated': 2, 'friendly': 2, 'dependable': 2, 'traditional': 4}",14377,,946563,47,survey-likert,
87,All,,0.0-4.0-44.0,,,,audio/NL/NL_02_L.mp3,947561,48,audio-keyboard-response,
87,All,,0.0-4.0-45.0,"[0, 1, 2, 3, 4, 5]","{'local': 2, 'casual': 5, 'educated': 3, 'friendly': 3, 'dependable': 3, 'traditional': 5}",15528,,963094,49,survey-likert,
87,All,,0.0-4.0-46.0,,,,audio/NGG/NGG_02_G.mp3,964282,50,audio-keyboard-response,
87,All,,0.0-4.0-47.0,"[0, 1, 2, 3, 4, 5]","{'local': 1, 'casual': 4, 'educated': 3, 'friendly': 3, 'dependable': 3, 'traditional': 4}",15139,,979425,51,survey-likert,
87,All,,0.0-4.0-48.0,,,,audio/NGN/NGN_04_NG.mp3,981242,52,audio-keyboard-response,
87,All,,0.0-4.0-49.0,"[0, 1, 2, 3, 4, 5]","{'local': 1, 'casual': 4, 'educated': 2, 'friendly': 2, 'dependable': 3, 'traditional': 4}",19229,,1000476,53,survey-likert,
87,All,,0.0-4.0-50.0,,,,audio/NGN/NGN_05_NG.mp3,1002401,54,audio-keyboard-response,
87,All,,0.0-4.0-51.0,"[0, 1, 2, 3, 4, 5]","{'local': 2, 'casual': 1, 'educated': 4, 'friendly': 2, 'dependable': 3, 'traditional': 2}",15940,,1018344,55,survey-likert,
87,All,,0.0-4.0-52.0,,,,audio/NGG/NGG_04_NG.mp3,1019792,56,audio-keyboard-response,
87,All,,0.0-4.0-53.0,"[0, 1, 2, 3, 4, 5]","{'local': 1, 'casual': 4, 'educated': 2, 'friendly': 3, 'dependable': 3, 'traditional': 5}",14159,,1033954,57,survey-likert,
87,All,,0.0-4.0-54.0,,,,audio/NGG/NGG_05_G.mp3,1035212,58,audio-keyboard-response,
87,All,,0.0-4.0-55.0,"[0, 1, 2, 3, 4, 5]","{'local': 2, 'casual': 3, 'educated': 3, 'friendly': 2, 'dependable': 3, 'traditional': 4}",11805,,1047021,59,survey-likert,
87,All,,0.0-4.0-56.0,,,,audio/NGN/NGN_07_NG.mp3,1048832,60,audio-keyboard-response,
87,All,,0.0-4.0-57.0,"[0, 1, 2, 3, 4, 5]","{'local': 3, 'casual': 2, 'educated': 4, 'friendly': 3, 'dependable': 3, 'traditional': 4}",20805,,1069641,61,survey-likert,
87,All,,0.0-4.0-58.0,,,,audio/NGG/NGG_08_G.mp3,1071012,62,audio-keyboard-response,
87,All,,0.0-4.0-59.0,"[0, 1, 2, 3, 4, 5]","{'local': 3, 'casual': 3, 'educated': 3, 'friendly': 4, 'dependable': 3, 'traditional': 5}",20925,,1091940,63,survey-likert,
87,All,[],0.0-5.0,,"{'age': '44', 'P0_Q0': None, 'gender': '女', 'origin': '广州', 'education': '不想回答'}",29765,,1121765,64,survey,
87,All,,0.0-6.0,,"{'lang1': '粤语', 'lang2': '普通话', 'lang3': '英语', 'lang4': '', 'lang5': ''}",42475,,1164241,65,survey-html-form,
87,All,,0.0-7.0,"[0, 2, 1]","{'family': 5, 'friends': 3, 'study/work': 1}",35596,,1199839,66,survey-likert,
87,All,,0.0-8.0,"[1, 2, 3, 0]","{'likert_young': 3, 'likert_proper': 4, 'likert_culture': 4, 'likert_identity': 4}",17152,,1216994,67,survey-likert,
87,All,[],0.0-9.0,,"{'attitude': '', 'have_heard': '否'}",11908,,1228915,68,survey,
87,All,,0.0-10.0,,0,2392,"
            <p>感谢您完成本次实验！</p>
            <p>请按""提交""按钮正式完成本实验。提交后请您稍等片刻，在您回到Prolific网站后就可以关闭窗口。</p>
      ",1231308,69,html-button-response,
61,All,,0.0-0.0,,0,14018,"<p style=""width: 1000px; margin-bottom: -250px"">
    您被邀请参加一项斯坦福大学的研究。
    <BR><BR>在此实验中，您会完成一项跟语言有关的任务，例如读或听一些字、描述图片或场景、造句、或完成简单的语言游戏。
    <BR><BR>本研究中没有已知的风险、成本或不适。
    <BR><BR>
    如果您同意参与这项研究，请继续。
    <BR><BR>
    <BR><BR>
    </p>
    <p style=""width: 1000px; font-size: 9pt; position: relative; top: 330px; padding-bottom: 30px; text-align: justify"">
    如果您已读完此表格并决定参与此项目，请明白您的参与是自愿的，您有权随时撤回您的同意或停止参与，而不会受到惩罚或失去您原本可以享有的利益有权。 您有权拒绝回答任何问题。 您的个人隐私将在研究产生的所有已发布和书面数据中得到保护。
    <BR><BR>联系信息：问题、疑虑或投诉：如果您对本研究、其程序、风险和益处有任何问题、疑虑或投诉，请用邮箱联系Ting Lin(linting@stanford.edu)或者Judith Degen教授(jdegen@stanford.edu)。如果您对这项研究的进行方式不满意，或者如果您对研究或您作为参与者的权利有任何疑虑、投诉或一般问题，请联系斯坦福机构审查委员会 (IRB) 发言与独立于研究团队的人联系 +1(650)-723-2480 或拨打免费电话 1-866-680-2906。 您也可以致函 Stanford IRB, Stanford University, Stanford, CA 94305-5401 或发送电子邮件至 irbnonmed@stanford.edu。
    </p>",14046,0,html-button-response,
61,All,,0.0-1.0,,0,13925,"
            <p>本研究的调查对象为母语为粤语的人。您可以将此链接分享给其他符合条件的人，但请不要多次参与本研究，您只会获得一次酬劳。</p>
            <p>本实验使用简体中文，将用时大约15分钟，完成后您将按公布的标准获得酬劳。</p>
            <p>请点击 ""继续""。</p>",27974,1,html-button-response,
61,All,,0.0-2.0,,0,7172,"
            <p>请确保您在安静的房间中用电脑完成本实验。</p>
            <p>在本实验中，您将聆听简短的音频片段，每段音频都是一名志愿者朗读的一个语段。</p>
            <p>听完每段音频后，您需要回答一些判断题。</p>",35149,2,html-button-response,
61,All,,0.0-3.0,,0,15645,"<p>实验开始前，请调整音量，确保您可以非常清楚地听到以下音频。</p>
    <p><audio controls><source src=""./audio/soundcheck.mp3"" type=""audio/mp3""></audio></p>
    <br><p>此外，以下音频将于实验过程中会出现数次，请遵守音频中的指示，<br>那一轮的每一道判断题<b>都请选择音频中的数字</b>。</p>
    <p><audio controls><source src=""./audio/attention_check_1.mp3"" type=""audio/mp3""></audio></p",50802,3,html-button-response,
61,All,,0.0-4.0-0.0,,,,audio/NGN/NGN_10_NG.mp3,51938,4,audio-keyboard-response,
61,All,,0.0-4.0-1.0,"[0, 1, 2, 3, 4, 5]","{'local': 5, 'casual': 2, 'educated': 5, 'friendly': 4, 'dependable': 4, 'traditional': 2}",42668,,94613,5,survey-likert,
61,All,,0.0-4.0-2.0,,,,audio/attention_check_1.mp3,97731,6,audio-keyboard-response,
61,All,,0.0-4.0-3.0,"[0, 1, 2, 3, 4, 5]","{'local': 0, 'casual': 0, 'educated': 0, 'friendly': 0, 'dependable': 0, 'traditional': 0}",17384,,115121,7,survey-likert,
61,All,,0.0-4.0-4.0,,,,audio/NL/NL_03_L.mp3,116189,8,audio-keyboard-response,
61,All,,0.0-4.0-5.0,"[0, 1, 2, 3, 4, 5]","{'local': 5, 'casual': 5, 'educated': 5, 'friendly': 5, 'dependable': 4, 'traditional': 0}",14400,,130593,9,survey-likert,
61,All,,0.0-4.0-6.0,,,,audio/NL/NL_06_L.mp3,131640,10,audio-keyboard-response,
61,All,,0.0-4.0-7.0,"[0, 1, 2, 3, 4, 5]","{'local': 3, 'casual': 0, 'educated': 5, 'friendly': 1, 'dependable': 1, 'traditional': 3}",32179,,163824,11,survey-likert,
61,All,,0.0-4.0-8.0,,,,audio/NGG/NGG_03_NG.mp3,165339,12,audio-keyboard-response,
61,All,,0.0-4.0-9.0,"[0, 1, 2, 3, 4, 5]","{'local': 5, 'casual': 1, 'educated': 5, 'friendly': 5, 'dependable': 3, 'traditional': 0}",24178,,189522,13,survey-likert,
61,All,,0.0-4.0-10.0,,,,audio/NL/NL_08_L.mp3,191069,14,audio-keyboard-response,
61,All,,0.0-4.0-11.0,"[0, 1, 2, 3, 4, 5]","{'local': 5, 'casual': 2, 'educated': 5, 'friendly': 4, 'dependable': 4, 'traditional': 1}",27783,,218856,15,survey-likert,
61,All,,0.0-4.0-12.0,,,,audio/NGN/NGN_07_N.mp3,220619,16,audio-keyboard-response,
61,All,,0.0-4.0-13.0,"[0, 1, 2, 3, 4, 5]","{'local': 0, 'casual': 1, 'educated': 5, 'friendly': 4, 'dependable': 4, 'traditional': 2}",27689,,248315,17,survey-likert,
61,All,,0.0-4.0-14.0,,,,audio/NGN/NGN_04_NG.mp3,250059,18,audio-keyboard-response,
61,All,,0.0-4.0-15.0,"[0, 1, 2, 3, 4, 5]","{'local': 5, 'casual': 4, 'educated': 5, 'friendly': 4, 'dependable': 4, 'traditional': 1}",25880,,275945,19,survey-likert,
61,All,,0.0-4.0-16.0,,,,audio/NL/NL_02_N.mp3,277020,20,audio-keyboard-response,
61,All,,0.0-4.0-17.0,"[0, 1, 2, 3, 4, 5]","{'local': 4, 'casual': 3, 'educated': 5, 'friendly': 5, 'dependable': 3, 'traditional': 0}",22668,,299694,21,survey-likert,
61,All,,0.0-4.0-18.0,,,,audio/NGG/NGG_02_G.mp3,300829,22,audio-keyboard-response,
61,All,,0.0-4.0-19.0,"[0, 1, 2, 3, 4, 5]","{'local': 4, 'casual': 4, 'educated': 5, 'friendly': 5, 'dependable': 5, 'traditional': 1}",30469,,331304,23,survey-likert,
61,All,,0.0-4.0-20.0,,,,audio/NGN/NGN_05_NG.mp3,333190,24,audio-keyboard-response,
61,All,,0.0-4.0-21.0,"[0, 1, 2, 3, 4, 5]","{'local': 3, 'casual': 1, 'educated': 5, 'friendly': 4, 'dependable': 4, 'traditional': 1}",30867,,364063,25,survey-likert,
61,All,,0.0-4.0-22.0,,,,audio/NL/NL_10_N.mp3,365634,26,audio-keyboard-response,
61,All,,0.0-4.0-23.0,"[0, 1, 2, 3, 4, 5]","{'local': 5, 'casual': 0, 'educated': 5, 'friendly': 4, 'dependable': 5, 'traditional': 5}",20436,,386076,27,survey-likert,
61,All,,0.0-4.0-24.0,,,,audio/NGN/NGN_08_NG.mp3,387774,28,audio-keyboard-response,
61,All,,0.0-4.0-25.0,"[0, 1, 2, 3, 4, 5]","{'local': 3, 'casual': 0, 'educated': 5, 'friendly': 3, 'dependable': 3, 'traditional': 5}",17607,,405386,29,survey-likert,
61,All,,0.0-4.0-26.0,,,,audio/NL/NL_09_N.mp3,406634,30,audio-keyboard-response,
61,All,,0.0-4.0-27.0,"[0, 1, 2, 3, 4, 5]","{'local': 3, 'casual': 0, 'educated': 5, 'friendly': 5, 'dependable': 5, 'traditional': 5}",20158,,426797,31,survey-likert,
61,All,,0.0-4.0-28.0,,,,audio/attention_check_6.mp3,429733,32,audio-keyboard-response,
61,All,,0.0-4.0-29.0,"[0, 1, 2, 3, 4, 5]","{'local': 5, 'casual': 5, 'educated': 5, 'friendly': 5, 'dependable': 5, 'traditional': 5}",12763,,442499,33,survey-likert,
61,All,,0.0-4.0-30.0,,,,audio/NGG/NGG_06_NG.mp3,443863,34,audio-keyboard-response,
61,All,,0.0-4.0-31.0,"[0, 1, 2, 3, 4, 5]","{'local': 5, 'casual': 1, 'educated': 5, 'friendly': 5, 'dependable': 5, 'traditional': 2}",15890,,459760,35,survey-likert,
61,All,,0.0-4.0-32.0,,,,audio/NGG/NGG_09_NG.mp3,462473,36,audio-keyboard-response,
61,All,,0.0-4.0-33.0,"[0, 1, 2, 3, 4, 5]","{'local': 5, 'casual': 0, 'educated': 5, 'friendly': 3, 'dependable': 5, 'traditional': 5}",14607,,477086,37,survey-likert,
61,All,,0.0-4.0-34.0,,,,audio/NGG/NGG_05_G.mp3,478284,38,audio-keyboard-response,
61,All,,0.0-4.0-35.0,"[0, 1, 2, 3, 4, 5]","{'local': 5, 'casual': 5, 'educated': 5, 'friendly': 5, 'dependable': 5, 'traditional': 0}",11088,,489378,39,survey-likert,
61,All,,0.0-4.0-36.0,,,,audio/NGG/NGG_08_NG.mp3,490813,40,audio-keyboard-response,
61,All,,0.0-4.0-37.0,"[0, 1, 2, 3, 4, 5]","{'local': 5, 'casual': 2, 'educated': 5, 'friendly': 5, 'dependable': 5, 'traditional': 2}",16781,,507601,41,survey-likert,
61,All,,0.0-4.0-38.0,,,,audio/NL/NL_07_L.mp3,508783,42,audio-keyboard-response,
61,All,,0.0-4.0-39.0,"[0, 1, 2, 3, 4, 5]","{'local': 5, 'casual': 3, 'educated': 4, 'friendly': 4, 'dependable': 3, 'traditional': 0}",25084,,533874,43,survey-likert,
61,All,,0.0-4.0-40.0,,,,audio/NL/NL_04_L.mp3,535023,44,audio-keyboard-response,
61,All,,0.0-4.0-41.0,"[0, 1, 2, 3, 4, 5]","{'local': 3, 'casual': 2, 'educated': 5, 'friendly': 5, 'dependable': 5, 'traditional': 3}",16110,,551139,45,survey-likert,
61,All,,0.0-4.0-42.0,,,,audio/NGG/NGG_10_G.mp3,552943,46,audio-keyboard-response,
61,All,,0.0-4.0-43.0,"[0, 1, 2, 3, 4, 5]","{'local': 5, 'casual': 5, 'educated': 5, 'friendly': 5, 'dependable': 5, 'traditional': 0}",12996,,565945,47,survey-likert,
61,All,,0.0-4.0-44.0,,,,audio/NGG/NGG_04_NG.mp3,567343,48,audio-keyboard-response,
61,All,,0.0-4.0-45.0,"[0, 1, 2, 3, 4, 5]","{'local': 2, 'casual': 0, 'educated': 5, 'friendly': 0, 'dependable': 0, 'traditional': 0}",19722,,587071,49,survey-likert,
61,All,,0.0-4.0-46.0,,,,audio/NL/NL_01_N.mp3,588903,50,audio-keyboard-response,
61,All,,0.0-4.0-47.0,"[0, 1, 2, 3, 4, 5]","{'local': 5, 'casual': 5, 'educated': 5, 'friendly': 5, 'dependable': 5, 'traditional': 0}",16107,,605017,51,survey-likert,
61,All,,0.0-4.0-48.0,,,,audio/NGN/NGN_01_NG.mp3,607123,52,audio-keyboard-response,
61,All,,0.0-4.0-49.0,"[0, 1, 2, 3, 4, 5]","{'local': 4, 'casual': 0, 'educated': 5, 'friendly': 2, 'dependable': 5, 'traditional': 5}",18608,,625738,53,survey-likert,
61,All,,0.0-4.0-50.0,,,,audio/NGG/NGG_01_G.mp3,627073,54,audio-keyboard-response,
61,All,,0.0-4.0-51.0,"[0, 1, 2, 3, 4, 5]","{'local': 5, 'casual': 5, 'educated': 5, 'friendly': 5, 'dependable': 5, 'traditional': 2}",15664,,642742,55,survey-likert,
61,All,,0.0-4.0-52.0,,,,audio/NGN/NGN_02_N.mp3,643815,56,audio-keyboard-response,
61,All,,0.0-4.0-53.0,"[0, 1, 2, 3, 4, 5]","{'local': 5, 'casual': 5, 'educated': 5, 'friendly': 5, 'dependable': 5, 'traditional': 0}",11664,,655484,57,survey-likert,
61,All,,0.0-4.0-54.0,,,,audio/attention_check_4.mp3,658693,58,audio-keyboard-response,
61,All,,0.0-4.0-55.0,"[0, 1, 2, 3, 4, 5]","{'local': 3, 'casual': 3, 'educated': 3, 'friendly': 3, 'dependable': 3, 'traditional': 3}",12393,,671092,59,survey-likert,
61,All,,0.0-4.0-56.0,,,,audio/NGN/NGN_09_N.mp3,672622,60,audio-keyboard-response,
61,All,,0.0-4.0-57.0,"[0, 1, 2, 3, 4, 5]","{'local': 5, 'casual': 0, 'educated': 5, 'friendly': 3, 'dependable': 5, 'traditional': 3}",12600,,685225,61,survey-likert,
61,All,,0.0-4.0-58.0,,,,audio/NGN/NGN_03_NG.mp3,686583,62,audio-keyboard-response,
61,All,,0.0-4.0-59.0,"[0, 1, 2, 3, 4, 5]","{'local': 5, 'casual': 3, 'educated': 5, 'friendly': 4, 'dependable': 5, 'traditional': 0}",16083,,702672,63,survey-likert,
61,All,[],0.0-5.0,,"{'age': '25', 'P0_Q0': None, 'gender': '女', 'origin': '香港', 'education': '本科'}",36077,,738810,64,survey,
61,All,,0.0-6.0,,"{'lang1': '广东话', 'lang2': '普通话', 'lang3': '英语', 'lang4': '', 'lang5': ''}",67698,,806510,65,survey-html-form,
61,All,,0.0-7.0,"[0, 1, 2]","{'family': 5, 'friends': 5, 'study/work': 1}",17380,,823895,66,survey-likert,
61,All,,0.0-8.0,"[2, 1, 3, 0]","{'likert_young': 5, 'likert_proper': 0, 'likert_culture': 5, 'likert_identity': 5}",10216,,834114,67,survey-likert,
61,All,[],0.0-9.0,,"{'attitude': '某啲懶音字係香港人casual 場合嘅特色。係現代香港式廣東話嘅特色。係令人講得流利嘅重要特徵。有d似英文有d字會reduce。有時專登講返正音有時好似好唔自己咁。可能亦都係歷史遺留落嚟嘅嘢。因為我哋又要學英文，又要學普通話，根本廣東話只喺屋企學，學校唔會教我哋廣東話正確發音。亦都代表咗我哋文化深受英國人影響，有時啲懶音係受英文影響。亦都反映咗中國，香港，澳門等地漸漸受到共產黨，新中國影響，普通話越嚟越prevelant，所以有啲懶音都受到普通話影響。好多謝你對廣東話嘅重視！同埋多謝你傳承廣東話！祝你研究順利！有啲比較abstract嘅題目有d難，例如教育程度，幾友善呢啲好難答。有d audio 唔係幾明佢想講咩', 'have_heard': '是'}",906556,,1740692,68,survey,
61,All,,0.0-10.0,,0,2122,"
            <p>感谢您完成本次实验！</p>
            <p>请按""提交""按钮正式完成本实验。提交后请您稍等片刻，在您回到Prolific网站后就可以关闭窗口。</p>
      ",1742816,69,html-button-response,
